,feature,importance_gain,importance_split,trn_score,run
38,ORGANIZATION_TYPE,12441.811533212662,908,0.7113861787042597,1
39,EXT_SOURCE_1,9164.882300049067,890,0.7113861787042597,1
40,EXT_SOURCE_2,8589.17817595601,812,0.7113861787042597,1
41,EXT_SOURCE_3,11713.134961277246,1113,0.7113861787042597,1
42,APARTMENTS_AVG,3507.163591951132,330,0.7113861787042597,1
43,BASEMENTAREA_AVG,3983.2529792785645,384,0.7113861787042597,1
44,YEARS_BEGINEXPLUATATION_AVG,3844.9660888910294,366,0.7113861787042597,1
45,YEARS_BUILD_AVG,3524.4596037864685,323,0.7113861787042597,1
46,COMMONAREA_AVG,3758.1677971482277,354,0.7113861787042597,1
47,ELEVATORS_AVG,1266.1199506521225,114,0.7113861787042597,1
48,ENTRANCES_AVG,2375.0191122293472,220,0.7113861787042597,1
49,FLOORSMAX_AVG,1242.3791780471802,113,0.7113861787042597,1
